timestamp,userId,dayOfWeek,hourOfDay,minuteOfHour,device_activity,device_batteryLevel,device_screenActive,device_appInForeground,device_audioPlaying,responseTime
2025-03-27 16:14:01.764775,user_9,3,16,14,0.6373505714044577,0.8741614511852057,0,0,1,121.25856326441391
2025-03-27 16:23:47.277674,user_8,3,16,23,0.08016809271187664,0.15566479878285452,1,1,1,15.690536779577911
2025-03-27 16:46:28.737252,user_7,3,16,46,0.9333455194171069,0.42266402517447577,1,1,0,67.96420131953703
2025-03-27 17:11:30.227777,user_3,3,17,11,0.7937091187637847,0.3188014111896735,1,0,0,17.29425896447533
2025-03-27 17:27:41.470243,user_10,3,17,27,0.7728681035954138,0.7631990134397116,1,0,0,12.618647230231632
2025-03-27 17:33:46.883424,user_9,3,17,33,0.8653546128530042,0.5882630613275793,0,0,1,50.33440854383751
2025-03-27 17:34:50.414834,user_9,3,17,34,0.7739726634260808,0.44982195476369,0,0,1,125.12371187418788
2025-03-27 17:41:58.213329,user_7,3,17,41,0.20710626664686838,0.8469174320081014,0,0,0,167.26925924589594
2025-03-27 17:45:37.868528,user_10,3,17,45,0.7539109684607983,0.878564268563404,0,1,0,277.9548450450257
2025-03-27 17:47:33.272806,user_4,3,17,47,0.40489187098233315,0.9701408793203121,0,0,1,24.834585381301913
2025-03-27 18:11:49.577478,user_10,3,18,11,0.1558718018501405,0.37876580712025987,1,1,1,156.26346354937633
2025-03-27 18:52:25.479870,user_9,3,18,52,0.6621309564885001,0.6493164510194345,1,0,0,105.94300445737993
2025-03-27 19:06:11.682843,user_1,3,19,6,0.17062860663962687,0.9766492642566876,0,1,0,55.01849537666492
2025-03-27 19:38:05.879548,user_3,3,19,38,0.6161549572582227,0.19083433947813355,1,1,1,96.98673713729059
2025-03-27 19:55:15.247923,user_10,3,19,55,0.07286600961988621,0.30181480746278583,0,0,1,91.01162505804773
2025-03-27 20:37:35.451595,user_1,3,20,37,0.5514963176708209,0.5730817428929601,0,0,0,283.8006253206078
2025-03-27 21:00:48.529640,user_7,3,21,0,0.17004624206518448,0.9140348496292682,0,1,1,193.2881586751922
2025-03-27 21:31:53.812238,user_8,3,21,31,0.6282662040973316,0.8431232965104405,0,0,1,51.59892572107841
2025-03-27 21:38:09.795909,user_3,3,21,38,0.22280079470131242,0.4061136438164189,1,1,0,60.537567229625466
2025-03-27 22:01:22.306463,user_6,3,22,1,0.058141744615196056,0.43986409318839303,0,1,1,99.14978466052428
2025-03-27 22:25:13.322748,user_7,3,22,25,0.32931795582807344,0.721029101282527,0,1,0,67.71494651500615
2025-03-27 22:43:55.114216,user_5,3,22,43,0.09460824746209928,0.18836400941260276,1,1,1,121.42165914057192
2025-03-27 22:54:10.548047,user_7,3,22,54,0.6838364459196605,0.7387965770975119,1,1,1,24.166596192933273
2025-03-27 23:05:37.327459,user_4,3,23,5,0.6747214136650053,0.25620928521267705,1,0,0,140.49649811561883
2025-03-27 23:12:52.292251,user_10,3,23,12,0.9103430275776297,0.9451727408455779,0,1,0,188.8421744195661
2025-03-27 23:23:34.217379,user_9,3,23,23,0.9585973320522159,0.1491908035548372,0,0,0,445.24604792348094
2025-03-27 23:25:10.092721,user_5,3,23,25,0.2147853150668071,0.28243288591344584,0,1,1,180.85022693882635
